名称,命途,模式,TAG,效果,版本
同步性辐射,毁灭,千面英雄,,强化前：我方目标获得护盾量的20%也可被转化为【耀变生命值变化值或护盾降低值的30%会转化为【耀变】充能值，充能值在回合开始时清除60%，【耀变】可基于该充能值造成伤害等效果。】。强化后：我方目标获得护盾量的30%也可被转化为【悬浮框耀变生命值变化值或护盾降低值的30%会转化为【耀变】充能值，充能值在回合开始时清除60%，【耀变】可基于该充能值造成伤害等效果。】。,3.1
连续性谱区,毁灭,千面英雄,,强化前：溢出回复量的20%也可被转化为【耀变生命值变化值或护盾降低值的30%会转化为【耀变】充能值，充能值在回合开始时清除60%，【耀变】可基于该充能值造成伤害等效果。】。强化后：溢出回复量的30%也可被转化为【悬浮框耀变生命值变化值或护盾降低值的30%会转化为【耀变】充能值，充能值在回合开始时清除60%，【耀变】可基于该充能值造成伤害等效果。】。,3.1
遮蔽性隐带,毁灭,千面英雄,,强化前：【耀变生命值变化值或护盾降低值的30%会转化为【耀变】充能值，充能值在回合开始时清除60%，【耀变】可基于该充能值造成伤害等效果。】基础值提高生命上限的20%。强化后：【悬浮框耀变生命值变化值或护盾降低值的30%会转化为【耀变】充能值，充能值在回合开始时清除60%，【耀变】可基于该充能值造成伤害等效果。】基础值提高生命上限的30%。,3.1
《燃烧男子的肖像》,欢愉,人间喜剧,命途机制,强化前：角色对敌方目标造成【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害时，额外造成1次不同属性，且等同于原伤害60%的【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害。强化后：角色对敌方目标造成【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害时，额外造成1次不同属性，且等同于原伤害90%的【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害。,1.0
《砂时镜下的幼园》,欢愉,人间喜剧,命途机制减攻,强化前：敌方目标每受到1种属性的【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害，攻击力降低4%，持续至下次行动后。强化后：敌方目标每受到1种属性的【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害，攻击力降低6%，持续至下次行动后。,1.0
《被涂污的信天翁》,欢愉,人间喜剧,附加伤害,强化前：角色发动追加攻击后，每击中1个敌方目标，则对每个被击中的目标额外造成1次等同于角色攻击力24%的附加伤害。强化后：角色发动追加攻击后，每击中1个敌方目标，则对每个被击中的目标额外造成1次等同于角色攻击力36%的附加伤害。,1.0
《十二猴子与怒汉》,欢愉,人间喜剧,增伤,强化前：角色对敌方目标造成追加攻击伤害时，使追加攻击伤害提高4%，最多叠加24层，持续至下回合开始时。强化后：角色对敌方目标造成追加攻击伤害时，使追加攻击伤害提高5%，最多叠加30层，持续至下回合开始时。,2.3
《像弗莱明一样好》,欢愉,人间喜剧,增伤,强化前：角色对敌方目标发动追加攻击后，使其受到的伤害提高8%，最多叠加3次，持续1回合。强化后：角色对敌方目标发动追加攻击后，使其受到的伤害提高12%，最多叠加3次，持续1回合。,2.3
《鱼发现了火》,欢愉,人间喜剧,易伤,强化前：角色造成的追加攻击伤害无视敌方目标20%的防御力。强化后：角色造成的追加攻击伤害无视敌方目标27%的防御力。,2.3
《最后的塔拉克人》,欢愉,人间喜剧,命途机制,强化前：角色造成的【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害提高70%。强化后：角色造成的【悬浮框回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害提高105%。,2.5
《你知道，你的柜子很漂亮》,欢愉,千面英雄,,强化前：敌方目标每受到1种属性的【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害，受到的伤害提高3%，持续至下次行动后。强化后：敌方目标每受到1种属性的【悬浮框回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害，受到的伤害提高4.5%，持续至下次行动后。,3.1
《神圣奇异果之种》,欢愉,千面英雄,,强化前：我方目标对敌方目标造成【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害时，使自身造成的伤害提高12%，最多叠加4层，持续至下回合开始时。强化后：我方目标对敌方目标造成【悬浮框回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害时，使自身造成的伤害提高12%，最多叠加6层，持续至下回合开始时。,3.1
《银河系的猫叫声》,欢愉,千面英雄,,强化前：【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】造成的伤害提高70%。强化后：【悬浮框回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】造成的伤害提高105%。,3.1
《海洋里的西蒙》,欢愉,千面英雄,,强化前：我方目标造成的追加攻击伤害和附加伤害无视敌方目标18%的防御力。强化后：我方目标造成的追加攻击伤害和附加伤害无视敌方目标24%的防御力。,3.1
《屋中寂静的一月》,欢愉,千面英雄,,强化前：我方目标攻击处于弱点击破状态下的敌方目标后，造成1次等同于攻击力100%的【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害。强化后：我方目标攻击处于弱点击破状态下的敌方目标后，造成1次等同于攻击力150%的【悬浮框回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害。,3.1
《白日漫漫路迢迢》,欢愉,千面英雄,,强化前：我方目标造成追加攻击伤害时的弱点击破效率提高35%。强化后：我方目标造成追加攻击伤害时的弱点击破效率提高50%。,3.1
《少尉深爱鱼子酱》,欢愉,千面英雄,,强化前：敌方目标每受到1种属性的【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害，攻击力降低4%，持续至下次行动后。强化后：敌方目标每受到1种属性的【悬浮框回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害，攻击力降低6%，持续至下次行动后。,3.1
腐殖疮,繁育,人间喜剧,命途机制,强化前：【孢子当持有数量大于等于3个时，会在受到角色攻击时爆裂，对持有目标造成不受加成影响的风属性附加伤害。爆裂后会传播给随机相邻目标，且无法二次传播，每个敌方目标最多持有6个。】爆裂后的传播次数变为2次，并且可以传播给持有【孢子当持有数量大于等于3个时，会在受到角色攻击时爆裂，对持有目标造成不受加成影响的风属性附加伤害。爆裂后会传播给随机相邻目标，且无法二次传播，每个敌方目标最多持有6个。】的敌方目标自身。强化后：【孢子当持有数量大于等于3个时，会在受到角色攻击时爆裂，对持有目标造成不受加成影响的风属性附加伤害。爆裂后会传播给随机相邻目标，且无法二次传播，每个敌方目标最多持有6个。】爆裂后的传播次数变为3次，并且可以传播给持有【孢子当持有数量大于等于3个时，会在受到角色攻击时爆裂，对持有目标造成不受加成影响的风属性附加伤害。爆裂后会传播给随机相邻目标，且无法二次传播，每个敌方目标最多持有6个。】的敌方目标自身。,1.3
裂解酶,繁育,人间喜剧,命途机制,强化前：【孢子当持有数量大于等于3个时，会在受到角色攻击时爆裂，对持有目标造成不受加成影响的风属性附加伤害。爆裂后会传播给随机相邻目标，且无法二次传播，每个敌方目标最多持有6个。】爆裂造成的伤害提高，提高数值等同于原伤害的35%，敌方目标被消灭后，将受到攻击前持有的【孢子当持有数量大于等于3个时，会在受到角色攻击时爆裂，对持有目标造成不受加成影响的风属性附加伤害。爆裂后会传播给随机相邻目标，且无法二次传播，每个敌方目标最多持有6个。】传播给相邻目标。强化后：【孢子当持有数量大于等于3个时，会在受到角色攻击时爆裂，对持有目标造成不受加成影响的风属性附加伤害。爆裂后会传播给随机相邻目标，且无法二次传播，每个敌方目标最多持有6个。】爆裂造成的伤害提高，提高数值等同于原伤害的50%，敌方目标被消灭后，将受到攻击前持有的【孢子当持有数量大于等于3个时，会在受到角色攻击时爆裂，对持有目标造成不受加成影响的风属性附加伤害。爆裂后会传播给随机相邻目标，且无法二次传播，每个敌方目标最多持有6个。】传播给其他敌方目标。,1.3
兴奋腺,繁育,人间喜剧,战技点,强化前：角色造成的普攻伤害提高30%。消耗战技点时，有15%固定概率恢复1个战技点。强化后：角色造成的普攻伤害提高50%。消耗战技点时，有20%固定概率恢复1个战技点。,1.3
裸脑质,繁育,人间喜剧,造成额外伤害,强化前：角色造成的普攻伤害会对随机相邻单体，造成等同于原伤害30%的伤害。强化后：角色造成的普攻伤害会对相邻目标，造成等同于原伤害35%的伤害。,1.3
节间膜,繁育,人间喜剧,伤害减免,强化前：角色每消耗1个战技点，受到的伤害降低8%，持续1回合，该效果最多叠加2层。强化后：角色每消耗1个战技点，受到的伤害降低8%，持续1回合，该效果最多叠加3层。,1.3
催化剂,繁育,人间喜剧,增伤,强化前：角色施放战技后，若该次战技未施放攻击，则使我方全体造成的伤害提高20%，持续1回合，该效果最多叠加3次。强化后：角色施放战技后，若该次战技未施放攻击，则使我方全体造成的伤害提高30%，持续1回合，该效果最多叠加3次。,1.3
阻滞胺,繁育,人间喜剧,减防,强化前：敌方目标受到【孢子当持有数量大于等于3个时，会在受到角色攻击时爆裂，对持有目标造成不受加成影响的风属性附加伤害。爆裂后会传播给随机相邻目标，且无法二次传播，每个敌方目标最多持有6个。】伤害后，防御力降低1%，该效果最多叠加15层。强化后：敌方目标受到【悬浮框孢子当持有数量大于等于3个时，会在受到角色攻击时爆裂，对持有目标造成不受加成影响的风属性附加伤害。爆裂后会传播给随机相邻目标，且无法二次传播，每个敌方目标最多持有6个。】伤害后，防御力降低1%，该效果最多叠加20层。,2.5
端感棒,繁育,千面英雄,,强化前：我方目标每消耗1个战技点，受到的伤害降低6%，持续2回合，该效果最多叠加2层。强化后：我方目标每消耗1个战技点，受到的伤害降低6%，持续2回合，该效果最多叠加3层。,3.1
子实体,繁育,千面英雄,,强化前：消灭敌方目标后，为【魂茧【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】充能30%。强化后：消灭敌方目标后，为【悬浮框魂茧【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】充能45%。,3.1
飞溅蛊,繁育,千面英雄,,强化前：我方目标造成的普攻/战技伤害会对相邻目标，造成等同于原伤害10%的伤害。强化后：我方目标造成的普攻/战技伤害会对相邻目标，造成等同于原伤害15%的伤害。,3.1
几丁质,繁育,千面英雄,,强化前：我方目标攻击力提高30%。进入战斗时，为【魂茧【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】额外充能30%。强化后：我方目标攻击力提高45%。进入战斗时，为【悬浮框魂茧【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】额外充能45%。,3.1
自由蛹,繁育,千面英雄,,强化前：【魂茧【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】变为【蝶魄【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】时，回复60%生命值，并使该状态下造成的伤害提高20%。强化后：【悬浮框魂茧【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】变为【蝶魄【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】时，回复100%生命值，并使该状态下造成的伤害提高30%。,3.1
担孢子,繁育,千面英雄,,强化前：【蝶魄【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】状态下，普攻/战技伤害的全属性抗性穿透提高14%。强化后：【悬浮框蝶魄【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】状态下，普攻/战技伤害的全属性抗性穿透提高21%。,3.1
结构色,繁育,千面英雄,,强化前：【魂茧【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】状态下，速度提高16%，【蝶魄【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】状态下，普攻战技造成的伤害提高50%。强化后：【悬浮框魂茧【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】状态下，速度提高24%，【蝶魄【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】状态下，普攻战技造成的伤害提高75%。,3.1
附加：前庭系统,智识,人间喜剧,命途机制暴击伤害,强化前：角色利用【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】施放终结技时，使暴击伤害提高80%，持续至本次技能结束。强化后：角色利用【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】施放终结技时，使暴击伤害提高90%，暴击伤害提高效果会持续至下一次攻击结束。,1.6
植入：外显记忆,智识,人间喜剧,命途机制护盾,强化前：角色利用【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】施放终结技后，获得等同于生命上限36%的护盾，持续2回合。强化后：角色利用【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】施放终结技后，获得等同于生命上限45%的护盾，持续3回合。,1.6
拟态：触觉通路,智识,人间喜剧,附加伤害,强化前：角色施放攻击后，对受到攻击的敌方目标造成附加伤害，每有一个受到攻击的敌方目标，附加伤害数值提高等同于角色攻击力的15%。强化后：角色施放攻击后，对受到攻击的敌方目标造成附加伤害，每有一个受到攻击的敌方目标，附加伤害数值提高等同于角色攻击力的20%。本场战斗中被消灭过的敌方目标也会被视为受到攻击，最多不超过5个。,1.6
分析：阈下知觉,智识,人间喜剧,增伤能量恢复,强化前：角色造成的终结技伤害提高50%，持续至首次施放终结技后。进入战斗时，回复等同于能量上限60%的能量。强化后：角色造成的终结技伤害提高50%，进入战斗时，回复等同于能量上限100%的能量。,1.6
装载：纹状皮层,智识,人间喜剧,附加伤害,强化前：若角色的群攻技能标签的一种，以群体攻击为主要效果的技能会拥有该标签。技能只攻击了1个敌方目标，则本次攻击对受到攻击的敌方目标额外造成等同于原伤害40%的固定数值的伤害。强化后：若角色的群攻技能标签的一种，以群体攻击为主要效果的技能会拥有该标签。技能只攻击了1个敌方目标，则本次攻击对受到攻击的敌方目标额外造成等同于原伤害60%的固定数值的伤害。,1.6
激发：跳跃传导,智识,人间喜剧,行动延后,强化前：角色施放终结技攻击处于弱点击破状态下的敌方目标后，使其行动延后16%，敌方目标每次陷入弱点击破状态后最多触发3次该效果。强化后：角色施放终结技攻击处于弱点击破状态下的敌方目标后，使其行动延后24%，敌方目标每次陷入弱点击破状态后最多触发3次该效果。,1.6
协调：共振核团,智识,人间喜剧,增伤,强化前：角色使用【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】施放终结技后，攻击力提高60%，持续2回合。强化后：角色使用【悬浮框罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】施放终结技后，攻击力提高90%，持续2回合。,2.5
稳定：慢波睡眠,智识,千面英雄,,强化前：我方目标受到攻击后，为【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】充能6%。强化后：我方目标受到攻击后，为【悬浮框罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】充能9%。,3.1
衍生：分野细胞,智识,千面英雄,,强化前：我方目标使用【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】施放终结技后，攻击力提高60%，持续2回合。强化后：我方目标使用【悬浮框罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】施放终结技后，攻击力提高90%，持续2回合。,3.1
执行：强化学习,智识,千面英雄,,强化前：我方目标施放终结技攻击处于弱点击破状态下的敌方目标后，使其行动延后16%，敌方目标每次陷入弱点击破状态后最多触发3次该效果。强化后：我方目标施放终结技攻击处于弱点击破状态下的敌方目标后，使其行动延后24%，敌方目标每次陷入弱点击破状态后最多触发3次该效果。,3.1
重启：终末神经,智识,千面英雄,,强化前：我方目标利用【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】施放终结技时，使暴击伤害提高80%，持续至本次技能结束。强化后：我方目标利用【悬浮框罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】施放终结技时，使暴击伤害提高90%，暴击伤害提高效果会持续至下一次攻击结束。,3.1
开放：直接通路,智识,千面英雄,,强化前：若我方目标的群攻技能标签的一种，以群体攻击为主要效果的技能会拥有该标签。技能只攻击了1个敌方目标，则本次攻击对受到攻击的敌方目标额外造成等同于原伤害40%的固定数值的伤害。强化后：若我方目标的悬浮框群攻技能标签的一种，以群体攻击为主要效果的技能会拥有该标签。技能只攻击了1个敌方目标，则本次攻击对受到攻击的敌方目标额外造成等同于原伤害60%的固定数值的伤害。,3.1
迭代：认知地图,智识,千面英雄,,强化前：我方目标利用【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】施放终结技后，获得等同于生命上限36%的护盾，持续2回合。强化后：我方目标利用【悬浮框罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】施放终结技后，获得等同于生命上限45%的护盾，持续3回合。,3.1
解析：程序记忆,智识,千面英雄,,强化前：我方目标使用【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】施放终结技时，我方全体造成的伤害提高36%，持续2回合。强化后：我方目标使用【悬浮框罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】施放终结技时，我方全体造成的伤害提高54%，持续2回合。,3.1
抑扬五步格,同谐,千面英雄,,强化前：【和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】的伤害倍率提高原倍率的30%。强化后：【悬浮框和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】的伤害倍率提高原倍率的45%。,3.1
通奏的低音,同谐,千面英雄,,"强化前：我方目标攻击处于弱点击破状态下的敌方目标后，会将本次攻击的削韧值转化为1次50%的超击破伤害击破特攻、本次攻击削韧值、角色等级越高，造成的超击破伤害越高。
超击破伤害无法暴击，不受伤害提高类效果所影响。
超击破伤害也属于击破伤害。。强化后：我方目标攻击处于弱点击破状态下的敌方目标后，会将本次攻击的削韧值转化为1次75%的悬浮框超击破伤害击破特攻、本次攻击削韧值、角色等级越高，造成的超击破伤害越高。
超击破伤害无法暴击，不受伤害提高类效果所影响。
超击破伤害也属于击破伤害。。",3.1
共晓的时期,同谐,千面英雄,,强化前：持有【和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】的敌方目标被消灭后，使1个随机相邻目标获得其持有层数的【和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】。强化后：持有【悬浮框和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】的敌方目标被消灭后，使2个随机相邻目标获得其持有层数的【和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】。,3.1
正直的诺姆,同谐,千面英雄,,强化前：我方目标击破敌方目标弱点时，有100%基础概率使其陷入冻结状态，持续1回合。强化后：我方目标击破敌方目标弱点时，有150%基础概率使其陷入冻结状态，持续1回合。,3.1
酒神的汲器,同谐,千面英雄,,强化前：我方目标攻击处于弱点击破状态下的敌方目标后，使其陷入1层【和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】。强化后：我方目标击破特攻提高24%，攻击处于弱点击破状态下的敌方目标后，使其陷入1层【悬浮框和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】。,3.1
日冕的悸动,同谐,千面英雄,,强化前：敌方目标每持有1层【和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】，受到的击破伤害提高1%。强化后：敌方目标每持有1层【悬浮框和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】，受到的击破伤害提高1.5%。,3.1
弦乐四重奏,同谐,千面英雄,,强化前：【和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】伤害触发时额外计入5层，【和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】上限提高5层。强化后：【悬浮框和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】伤害触发时额外计入6层，【和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】上限提高10层。,3.1
构筑•聚塑,存护,人间喜剧,防御力,强化前：角色防御力提高20%。强化后：角色防御力提高30%。,1.0
构筑•哨戒,存护,人间喜剧,护盾,强化前：进入战斗时，角色获得能够抵消等同于自身生命上限16%伤害的护盾，持续2回合。强化后：进入战斗时，角色获得能够抵消等同于自身生命上限24%伤害的护盾，持续2回合。,1.0
构筑•弥合,存护,人间喜剧,护盾,强化前：角色受到攻击后，获得等同于本次攻击内损失的生命值18%的护盾，持续1回合。强化后：角色受到攻击后，获得等同于本次攻击内损失的生命值18%的护盾，持续2回合。,1.0
构筑•补偿,存护,人间喜剧,护盾,强化前：角色击破敌方目标弱点后，获得能够抵消等同于自身生命上限14%伤害的护盾，持续2回合。强化后：角色击破敌方目标弱点后，获得能够抵消等同于自身生命上限18%伤害的护盾，持续3回合。,1.0
构筑•坚定,存护,人间喜剧,伤害减免,强化前：持有护盾的角色受到的伤害降低16%。强化后：持有护盾的角色受到的伤害降低24%。,1.0
构筑•回转,存护,人间喜剧,效果减免,强化前：角色获得护盾时，有20%固定概率解除1个自身的负面效果。强化后：角色获得护盾时，有30%固定概率解除1个自身的负面效果。,1.0
构筑•迸发,存护,人间喜剧,暴击伤害,强化前：持有护盾的角色暴击伤害提高30%。强化后：持有护盾的角色暴击伤害提高45%。,1.0
构筑•专注,存护,人间喜剧,暴击率,强化前：持有护盾的角色暴击率提高16%。强化后：持有护盾的角色暴击率提高24%。,1.0
体验：痼疾的摧残,记忆,人间喜剧,效果抵抗降低,强化前：敌方目标抵抗冻结状态的概率降低30%。强化后：敌方目标抵抗冻结状态的概率降低45%。,2.3
体验：疏离的煎熬,记忆,人间喜剧,效果命中,强化前：角色的效果命中提高16%。强化后：角色的效果命中提高24%。,1.0
体验：丢失的记忆,记忆,人间喜剧,负面状态,强化前：角色施放攻击后，若受到攻击的敌方目标当前生命值百分比首次小于50%，则有70%的基础概率使其陷入冻结状态，持续1回合。强化后：角色施放攻击后，若受到攻击的敌方目标当前生命值百分比首次小于50%，则有100%的基础概率使其陷入冻结状态，持续1回合。,1.0
体验：决绝的痛恨,记忆,人间喜剧,增伤,强化前：角色对陷入冻结状态的敌方目标施放战技或终结技时，造成的伤害提高36%。强化后：角色对陷入冻结状态的敌方目标施放战技或终结技时，造成的伤害提高54%。,1.0
体验：病痛的折磨,记忆,人间喜剧,暴击率,强化前：角色攻击冻结状态下的敌方目标后，造成等同于40%攻击力的附加伤害。强化后：角色攻击冻结状态下的敌方目标后，造成等同于60%攻击力的附加伤害。,1.0
体验：原初的苦衷,记忆,人间喜剧,易伤,强化前：陷入冻结状态的敌方目标受到的伤害提高16%。强化后：陷入冻结状态的敌方目标受到的伤害提高24%。,1.0
体验：攀升的刺激,记忆,人间喜剧,能量恢复,强化前：角色对敌方目标施加冻结状态后，自身恢复8点能量，该效果每次行动只能触发1次。强化后：角色对敌方目标施加冻结状态后，自身恢复12点能量，该效果每次行动只能触发1次。,1.0
体验：回应的兴奋,记忆,人间喜剧,护盾,强化前：敌方目标陷入的冻结状态解除后，护盾量最低的角色获得能够抵消等同于自身生命上限30%伤害的护盾，持续2回合。强化后：敌方目标陷入的冻结状态解除后，护盾量最低的角色获得能够抵消等同于自身生命上限45%伤害的护盾，持续2回合。,1.0
